204915679, 84259244, 92897199
66894905, 70226354, 186809105
59163624, 122393044, 73944511
32182751, 169263197, 175632952
79858706, 31980961, 140774221
81824379, 148068601, 122606077
122393044, 50738246, 51932765
38959783, 57867786, 29532414
98296371, 29700547, 32443541
36039, 104083518, 62371937
51812607, 23967044, 34762899
54186050, 122393044, 186697329
30210603, 151288610, 122393044
34183390, 54767216, 17251486
10889156, 108164886, 23769931
32331179, 122393044, 64269249
51812607, 73769577, 111484
127283802, 122393044, 2579489
322371, 85938527, 120206352
34568519, 122393044, 194116308
122393044, 67100441, 49092934
65772138, 49092934, 41373115
77004850, 64058969, 81532215
91503835, 122393044, 92556078
80040324, 29725575, 143712105
81532215, 77004850, 143712105
122393044, 49092934, 81834858
49092934, 63146076, 60449152
51812607, 122393044, 102532920
122393044, 54531505, 119101202
122606077, 122393044, 38416744
122393044, 26762265, 119101202
74899003, 63418942, 102432209
122606077, 122393044, 38852926
33107337, 41561549, 49092934
122393044, 146919455, 23684992
122606077, 122393044, 160930471
133444716, 30203414, 1228516
133444716, 30203414, 1228516
133444716, 30203414, 1228516
6523189, 122393044, 57571169
40067852, 122393044, 61691237
122393044, 60212615, 88298195
93172467, 49177878, 54793836
148643627, 53529954, 132834077
122606077, 122393044, 98780954
37725105, 122393044, 61047943
175632952, 130772758, 3821228
2044704, 35961352, 36378934
47683898, 56468672, 29725798
11203246, 4144008, 122606077
73769577, 184020456, 68030706
33682639, 106351883, 33863926
32608222, 122393044, 153855784
122393044, 32713787, 15679706
99639910, 58396659, 95755763
122393044, 53459598, 86168582
54186050, 18346638, 61144644
15445920, 96866521, 34485380
134566041, 204236003, 189502287
65380598, 120051603, 108807743
19107111, 133876521, 178145225
46249401, 122606077, 24699245
72081844, 39480832, 64863616
122393044, 65836378, 115250360
179525031, 39857072, 446821
62875694, 134566041, 189502287
28316697, 46234135, 59631248
122393044, 157232463, 101793432
45137671, 58816464, 216627017
59517317, 31079309, 29378821
41195754, 41462125, 73189613
155341746, 134566041, 80354660
138392500, 33412153, 54859136
138392500, 33412153, 54859136
73769577, 58170558, 99484444
72026768, 158336361, 183397560
23223368, 134566041, 201722505
134566041, 186102698, 213696822
50508704, 38883667, 134566041
122606077, 174118206, 33993930
17103716, 51403525, 69172590
17103716, 51403525, 69172590
17103716, 51403525, 69172590
17103716, 51403525, 69172590
17103716, 51403525, 69172590
17103716, 51403525, 69172590
17103716, 51403525, 69172590
177246968, 54525574, 134566041
134566041, 165772128, 206549116
112270507, 155677112, 85830792
101525677, 873510, 134566041
64058969, 62741541, 126438294
39325472, 23002, 134566041
56468672, 53378343, 82181764
73769577, 99484444, 99013583
51048095, 178253408, 105061584
100449722, 108720279, 95069963
100449722, 108720279, 95069963
134566041, 201722505, 184813042
28352059, 112689376, 134566041
17251486, 152098004, 79098642
17251486, 152098004, 79098642
17251486, 152098004, 79098642
175632952, 62082163, 168791172
231155, 134566041, 44468179
39238439, 75766430, 134566041
62473384, 41219223, 178205293
119101202, 32348187, 75219393
2167960, 128853689, 126557591
134566041, 201722505, 84353580
32042169, 103048408, 61061301
179525031, 30157326, 121309362
121547349, 62137133, 134566041
101832399, 28721618, 85353825
177246968, 134566041, 67827278
11473515, 53803454, 32770040
59813902, 134566041, 40308057
30405123, 82144913, 109935711
99484444, 106239997, 134566041
134566041, 18820967, 178729169
31217732, 105510809, 134566041
178205293, 77639893, 93872096
39742836, 62112902, 147201123
116598003, 134566041, 201722505
130772758, 145373124, 84677870
143721349, 24223864, 201619250
33364607, 134566041, 18820967
62262436, 128853673, 30301713
175632952, 67415711, 134566041
23951627, 59490415, 109479175
52642163, 141477467, 134566041
55307933, 71616336, 98980419
179525031, 28922807, 106995139
134566041, 201722505, 40806504
28716748, 26224265, 84677870
116598003, 134566041, 201722505
13816974, 102797600, 134566041
205706564, 18820967, 201722505
85938527, 50677817, 128853689
798041, 32378831, 151168449
134566041, 34304400, 201722505
104292825, 134566041, 201722505
70719848, 65664428, 42567935
44756195, 50663747, 134566041
148275520, 114221287, 5313617
53045267, 50075186, 20035301
179525031, 1176606, 21298296
17251486, 119101202, 134566041
134566041, 151569180, 58620438
34607671, 85934637, 57749758
74441888, 16361094, 4770730
108494404, 5421782, 134566041
134566041, 188161551, 138069556
134566041, 92413966, 40127086
116598003, 134566041, 40308057
75530035, 70860769, 134566041
61607855, 64981014, 80054937
60574508, 134566041, 89086089
144198820, 202659018, 75221431
11504106, 1237312, 67827278
76618054, 201722505, 178926997
85938527, 141514192, 64986792
134566041, 206566349, 18820967
85938527, 141514192, 99652886
64614061, 59829310, 134566041
34277986, 44710041, 139530712
64442462, 44193842, 10688040
18496184, 175632952, 49620997
62491898, 166410915, 88420867
115250360, 44748456, 190308036
63146076, 184544773, 67827278
54190813, 139063128, 201722505
1491009, 59463040, 76466489
46004783, 28009645, 134566041
64870761, 46461167, 72678479
60286993, 97579871, 187194709
42761636, 134566041, 101749685
201722505, 15907611, 179119765
54186050, 151911382, 85938527
54186050, 151911382, 85938527
17251486, 173709027, 195174930
17251486, 75468016, 161127711
134566041, 201722505, 181470557
61607855, 17328124, 64981014
2338989, 51976496, 64981014
252491, 62818821, 32444926
23689642, 59984685, 59841252
134566041, 97687545, 188136143
39564219, 54996578, 201722505
76618054, 56276925, 77767193
103530953, 151120612, 71938736
